movie,directors,stars,year,runtime,genres
Choker,Nick Vallelonga,"Paul Sloan, Colleen Porch, Hayley DuMond, Nick Vallelonga",2005,93 min,"Horror, Action, Sci-Fi"
Untitled Star Wars Trilogy: Episode II,,,,,Sci-Fi
The Gateway,Jaron Henrie-McCrea,"Danni Smith, Tim Lueke, Martin Monahan, Rick Zahn",2015,74 min,"Horror, Mystery, Sci-Fi"
The Midnight After,Fruit Chan,"Suet Lam, Lam Wong, Cheuk-Ling Tin, Kim-Fai Lam",2014,124 min,"Comedy, Mystery, Sci-Fi"
Lupin III: Farewell to Nostradamus,"Shun'ya Itô, Takeshi Shirato, Nobuo Tomizawa","Kan'ichi Kurita, Brice Armstrong, Laura Bailey, Dameon Clarke",1995,100 min,"Animation, Action, Adventure"
Storm War,Todor Chapkanov,"Jason London, Wes Brown, Gary Grubbs, Lance E. Nichols",2011,85 min,"Action, Drama, Sci-Fi"
The Projected Man,"Ian Curteis, John Croydon","Mary Peach, Bryant Haliday, Norman Wooland, Ronald Allen",1966,77 min,"Sci-Fi, Horror"
Code Geass: Akito the Exiled 3 - The Brightness Falls,,"Miyu Irino, Maaya Sakamoto, Yôko Hikasa, Yoshitsugu Matsuoka",2015,60 min,"Animation, Action, Sci-Fi"
Phoenix Point,Randala,"Jon Jacobs, Brion James, Kelly Williams, Daniel Murray",2005,,Sci-Fi
Future Fear,Lewis Baumander,"Jeff Wincott, Maria Ford, Stacy Keach, Shawn Thompson",1997,77 min,"Action, Sci-Fi"
Andromeda Nebula,Evgeniy Sherstobitov,"Vija Artmane, Sergey Stolyarov, Nikolai Kryukov, Tatyana Voloshina",1967,77 min,"Romance, Sci-Fi"
Doraemon: Nobita no kyôryû,Hiroshi Fukutomi,"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura, Kaneta Kimotsuki",1980,92 min,"Animation, Adventure, Family"
Gamera tai Shinkai kaijû Jigura,Noriaki Yuasa,"Kôji Fujiyama, Daigo Inoue, Reiko Kasahara, Daihachi Kita",1971,87 min,"Action, Adventure, Horror"
Project Aether,Shawn Welling,"Shawn Welling, Marissa Lee, Joy Willard, Michael Pickering",2011,,Sci-Fi
The Cult,André Antônio,"Sócrates Alexandre, Felipe Araújo, Júlio Emílio, Paulo Faltay",2015,70 min,Sci-Fi
Cyber Underground,Rudy Cimic,"Michael Lake, Ed Robinson, Blake Canning, Tylan Essery",2019,90 min,Sci-Fi
The People Who Own the Dark,León Klimovsky,"Nadiuska, Alberto de Mendoza, Teresa Gimpera, Emiliano Redondo",1976,82 min,"Horror, Sci-Fi"
Mutants,Amir Valinia,"Michael Ironside, Louis Herthum, Tony Senzamici, Steven Bauer",2008,83 min,"Action, Horror, Sci-Fi"
Aberration,Tim Boxell,"Pamela Gidley, Simon Bossell, Valeriy Nikolaev, Helen Moulder",1997,93 min,"Horror, Sci-Fi"
Tommy,Jason Farries,"Martin Bell, Jérémy Parisi, Gerald Maliqi, Ellis J. Wells",,,Sci-Fi
The Night the World Exploded,Fred F. Sears,"Kathryn Grant, William Leslie, Tristram Coffin, Raymond Greenleaf",1957,64 min,Sci-Fi
South Mill District,Joe Meredith,"Toby Johansen, Cidney Meredith, Joe Meredith",2018,,"Horror, Sci-Fi"
Supercroc,Scott Harper,"Cynthia Rose Hall, Matt Blashaw, Kim Little, David Novak",2007,85 min,"Action, Adventure, Horror"
The Return of Superman,Kunt Tulgar,"Tayfun Demir, Güngör Bayrak, Yildirim Gencer, Esref Kolçak",1979,67 min,"Adventure, Fantasy, Sci-Fi"
Space Detective,Antonio Llapur,"Matt Sjafiroeddin, Angela Rysk, Nemo Strang, Steed Corulla",2017,73 min,"Animation, Adventure, Sci-Fi"
Paradis pour tous,Alain Jessua,"Patrick Dewaere, Jacques Dutronc, Fanny Cottençon, Stéphane Audran",1982,110 min,"Comedy, Drama, Sci-Fi"
Rebirth of Mothra III,Okihiro Yoneda,"Megumi Kobayashi, Misato Tate, Aki Hano, Atsushi Ohnita",1998,99 min,"Adventure, Fantasy, Sci-Fi"
The Uprising,Amilcar Monterroso,"Andrea Sixtos, Gina DeVivo, Mai Linh, Ian Stanley",,,"Drama, Mystery, Sci-Fi"
The Prodigies,Antoine Charreyron,"Jeffrey Evan Thomas, Dominic Gould, Moon Dailly, Lauren Ashley Carter",2011,87 min,"Animation, Sci-Fi"
Choke Canyon,Charles Bail,"Stephen Collins, Janet Julian, Bo Svenson, Lance Henriksen",1986,94 min,"Action, Sci-Fi"
Hostile Environment,David A. Prior,"Brigitte Nielsen, Matthias Hues, Darren Shahlavi, Rochelle Swanson",1999,96 min,"Action, Sci-Fi"
Perpetual Motion,Carlo Liconti,"Tenika Davis, Andreas Apergis, Sia Cheon, Rob Raco",,,"Fantasy, Sci-Fi"
